word	meaning	example	example_ja
at best	maybe, but not much	The result was a success at best, a disaster at worst.	結果はうまくいったとしてもせいぜい普通、悪く言えば惨事だった。
at ease	relaxed	He looked at ease—even though the fire drill just started.	彼はくつろいで見えた。避難訓練が始まったばかりなのに。
at face value	as it seems	Don’t take his “I’m fine” at face value—check the eye twitch.	彼の「大丈夫」はそのまま信じないで。まばたきの速さを見て。
at first	at the beginning	At first, the puzzle seemed easy. Then it laughed at me.	最初はパズルが簡単に見えた。でも途中からバカにされてる気がした。
at first hand	from personal experience	I learned at first hand that cats hate water. Lesson burned.	猫が水を嫌うことは身をもって知った。傷ももらった。
at first sight	immediately	At first sight, the room looked clean. Then I opened the closet.	一目見た限り部屋はきれいだった。クローゼットを開けるまでは。
at hand	nearby or soon	The test is at hand, and so is the feeling of regret.	テストが近い。そして後悔もすぐそこだ。
at heart	inside, really	He acts tough, but at heart he loves cartoons.	彼は強がってるけど、本当はアニメが大好きだ。
athlete	sport player	She trains like an athlete—even for board games.	彼女はボードゲームですらアスリートのようにトレーニングする。
at issue	being discussed	The real problem at issue is who ate the last donut.	今の議題は、誰が最後のドーナツを食べたかだ。
at large	not caught or free	The cat is still at large, probably planning its next move.	その猫はいまだ逃走中。たぶん次の一手を考えている。
at last	finally	At last, the internet came back. Cheers were heard everywhere.	ついにインターネットが復活した。あちこちから歓声が上がった。
at least	not less than	I didn’t win, but at least I remembered my name.	勝てなかったが、名前を忘れなかっただけマシだ。
at leisure	in a relaxed way	He read the manual at leisure—after breaking everything.	彼はゆっくり説明書を読んだ。すべて壊した後に。
at length	for a long time	She talked at length about frogs. I stopped understanding halfway.	彼女はカエルについて長々と語った。途中から理解不能だった。
atmosphere	the feeling in a place	The café had a nice atmosphere, until the karaoke started.	そのカフェはいい雰囲気だった。カラオケが始まるまでは。
atomise	break into small pieces	The plan atomised the moment three people had opinions.	3人が意見を言い出した瞬間、その計画は粉々になった。
at once	right away	He stood up at once when he heard “cake.”	「ケーキ」と聞いた瞬間、彼は即座に立ち上がった。
at one's best	in top condition	She’s at her best when she’s not being watched.	彼女は見られていないときが一番力を発揮する。
at one's convenience	when it’s good for you	Please reply at your convenience—next year is fine too.	ご都合のいい時に返信ください。来年でも大丈夫です。
at one's wits' end	very confused or stressed	I was at my wits’ end when the printer said “offline” again.	プリンターがまた「オフライン」と言った時、私は限界だった。
at short notice	with little warning	The class was moved at short notice, and my brain didn’t get the memo.	授業は急に変更されたが、私の脳には伝わっていなかった。
at present	now	At present, I’m calm. But the group chat hasn’t replied yet.	今は落ち着いてる。でもグループチャットはまだ既読無視。
at random	without order	He chose the answer at random and still got it right. Lucky guess.	彼は適当に答えを選んだが正解した。運だけで。
atrophy	weaken over time	My ability to talk to people atrophied after one long weekend.	たった一回の長い週末で、会話力が衰えた。
attach	connect or add	Don’t forget to attach the file this time. Seriously.	今度こそファイルの添付を忘れないで。マジで。
attain	reach or get	He attained level 100 in the game, but forgot to eat lunch.	彼はゲームでレベル100に到達したが、昼ご飯を忘れていた。
attempt	try	I attempted to stay focused. Then came the cat.	集中しようとした。でも猫が来た。
attest	prove or confirm	I can attest that this chair is dangerous—ask my back.	この椅子が危険なのは証明できる。私の背中が語っている。
at the age of ~	when ~ years old	At the age of 9, he started coding. At 10, he broke the Wi-Fi.	9歳で彼はコーディングを始め、10歳でWi-Fiを壊した。
at the back of ~	behind ~	There’s a weird smell coming from the back of the fridge.	冷蔵庫の奥から、なんか変な匂いがしてる。
at the cost of ~	with loss of ~	She got full marks—at the cost of two all-nighters.	彼女は満点を取った。その代償は徹夜2回。
at the mercy of ~	controlled by ~	We were at the mercy of the autocorrect. It betrayed us all.	オートコレクトに支配されていた。全員裏切られた。
at the minute	at the moment	I’m not hungry at the minute. That could change in 5 minutes.	今はお腹すいてないけど、5分後はわからない。
at the risk of ~	maybe causing ~	At the risk of sounding lazy—I think this chair is too far.	怠け者っぽく聞こえるかもしれないけど、この椅子遠すぎる。
at the same time	together	He laughed and sneezed at the same time. Impressive.	彼は笑いながらくしゃみをした。同時に。すごい。
at the sight of ~	when seeing ~	At the sight of the pop quiz, the whole class froze.	抜き打ちテストを見た瞬間、クラス全体が固まった。
at the top of one's voice	very loudly	She sang at the top of her voice. The windows filed a complaint.	彼女は全力で歌った。窓が苦情を言いそうな勢いだった。
at this rate	if it continues like this	At this rate, we’ll be ready by 2050. Maybe.	このペースだと準備が整うのは2050年。たぶん。
attitude	the way you think or feel	His attitude toward Mondays is basically self-defense.	彼の月曜日への態度は、ほぼ自己防衛。
attribute A to B	say A is because of B	She attributes her success to effort—and good headphones.	彼女は成功の理由を努力と良いヘッドホンだと言っている。
awaken	wake up or notice	He finally awakened to the truth: his plant was plastic.	彼はようやく気づいた。自分の植物がプラスチックだったことに。
award	prize or gift	She got an award for being helpful—and always having pens.	彼女は親切さと、いつもペンを持っていることが評価されて表彰された。
awareness	knowing something	His awareness of deadlines is strong—right after they pass.	彼の締切への意識は高い。過ぎたあとに。
a week from today	7 days later	A week from today, I’ll be better—or still procrastinating.	1週間後には成長している…か、まだ先延ばししてるかだ。
awkward	embarrassing or weird	There was an awkward silence after I said “You too” to “Happy Birthday.”	「誕生日おめでとう」に「君もね」と返して、気まずい沈黙が流れた。
awry	not right or messed up	Our plan went awry when someone brought glitter.	誰かがラメを持ち込んだ時点で、計画は狂った。
axis	center line	The Earth spins on its axis—and so does my attention.	地球は軸で回っている。私の集中力も同じくらい不安定だ。
bait	something to attract	The discount was bait—and I walked right into the store.	割引はエサだった。そして私はまんまと店に入った。
balance	evenness or control	I tried to keep my balance—and my dignity—on the ice.	氷の上でバランスと尊厳を同時に保とうとした。
balk	refuse to do something	He balked at cleaning his room. The mess didn’t.	彼は部屋の掃除を拒否した。散らかりはそうしなかった。
ban	forbid or stop	The school banned phones. Students discovered... books.	学校が携帯を禁止した。生徒たちは本を発見した。
bandage	cover for wounds	I used a bandage—not for the cut, but for emotional support.	絆創膏を貼った。傷のためじゃなく、心の支えとして。
bankrupt	out of money	He went emotionally bankrupt after one group presentation.	グループ発表一回で彼は感情的に破産した。
bankruptcy	failure with money	After buying 5 smoothies, I declared personal bankruptcy.	スムージー5本買ったあと、私は個人破産を宣言した。
barbed	having sharp points	The comment was barbed—polite words, sharp meaning.	そのコメントはトゲがあった。丁寧な言葉で鋭く刺すタイプ。
barely	almost not	I barely passed the test—thanks to question 10.	そのテストはギリギリ合格した。第10問のおかげで。
barren	empty or unable to grow	The field was so barren, even the weeds looked bored.	その土地はあまりに何もなくて、雑草さえ退屈そうだった。
barrister	lawyer (in court)	The barrister argued with style, logic, and dramatic finger-pointing.	その法廷弁護士は、論理と派手な指さしで戦った。
barter	trade without money	They bartered a sandwich for a pencil. Surprisingly fair.	彼らはサンドイッチと鉛筆を物々交換した。意外と平等だった。
